Unnamed: 0,Uni,WBtc,Link,Usd,Comp,Eth,BlockNo
0,7.036623484378198,21382.021437556083,7.226274516622569,1.0001214990895304,307.0567565903433,1632.7277974228991,15400000.0
1,7.061076597440312,21476.878071889987,7.079267595523202,1.0000751856315993,307.0567565903433,1650.6603765809673,15403500.0
2,7.082959474449138,21507.788484675657,7.135511836071742,1.000122245964155,307.0567565903433,1674.4589898379006,15407000.0
3,7.031649582138865,21510.22148021348,7.135511836071742,1.0000888029653785,307.0567565903433,1707.3387492522436,15410500.0
4,6.792973674337737,21422.679087945733,7.016420526365414,1.0000686821130211,307.0567565903433,1646.7552657973922,15414000.0
5,6.484907613931576,20700.218650120438,6.8249743645738405,1.0000304279446093,307.0567565903433,1560.3832360536996,15417500.0
6,6.151128191748956,20196.726530298678,6.474764367959949,1.000030162184441,307.0567565903433,1503.4722897160143,15421000.0
7,6.0329585203880205,20041.831139185233,6.586480804452227,1.000022085502553,307.0567565903433,1494.2274355857862,15424500.0
8,5.97099915810608,19971.291950763698,6.512100472477001,1.0000323863277167,307.0567565903433,1472.1400893196594,15428000.0
9,5.735393138099309,19667.755830523653,6.4033303283212115,1.0001693454156462,307.0567565903433,1440.7370197369848,15431500.0
10,6.1496999849495495,20230.34569483241,6.564935123757312,1.0001031324921394,307.0567565903433,1520.2940133666575,15435000.0
11,6.2866405085997,20464.215723151254,6.5944445834798,1.000061979048336,307.0567565903433,1580.498534932856,15438500.0
12,6.007187930610334,19713.39392091414,6.451021082722916,1.0000208716746493,307.0567565903433,1501.3278167403714,15442000.0
13,6.292777670925478,20300.65427676243,6.784089308741978,1.0000215454997945,307.0567565903433,1591.1716620564791,15445500.0
14,6.2760136850948385,20219.12629390171,6.626441680709046,1.0000264750100407,307.0567565903433,1575.1953320891282,15449000.0
15,6.1087045223640715,19949.012000978768,6.5958613809665385,1.000024034475722,307.0567565903433,1562.9028272334415,15452500.0
16,6.285738477614112,20091.551079292218,6.832087105679271,1.0000258518464498,307.0567565903433,1580.4930203156714,15456000.0
17,6.41413629886134,20331.24066365914,7.116671027825238,1.000020950843257,307.0567565903433,1634.0070210631893,15459500.0
18,6.376064523894818,19926.01462145637,6.8743878922038535,1.000013224152008,307.0567565903433,1560.195586760281,15463000.0
19,6.333519940196138,19817.006983961983,6.852303419401848,0.9999502932235164,307.0567565903433,1550.609175,15466500.0
20,6.346483796917366,19796.900141807913,6.846678869075428,1.0001097045529663,307.0567565903433,1556.4848784503836,15470000.0
21,6.472080540118518,19877.519833581435,7.150520938688986,1.0000215387645537,307.0567565903433,1566.1026983855154,15473500.0
22,6.374286211193214,19770.70714675697,7.137697037482813,1.0000181850560412,307.0567565903433,1562.8263049868267,15477000.0
23,6.454899782814557,19774.639075998384,7.245182066002482,1.000012281660897,307.0567565903433,1599.852533011309,15480500.0
24,6.495298959878363,19950.68906483308,7.3129173461617905,1.0000087667219235,307.0567565903433,1675.5988962703464,15484000.0
25,5.901602696160199,18847.043853891904,6.709932024316242,1.0000025721534709,307.0567565903433,1532.9071106866704,15487500.0
26,5.889497868275619,18891.44152928693,6.696863296081354,0.999963988635481,307.0567565903433,1545.375677304863,15491000.0
27,6.1191908245421525,19260.665915228976,7.081331841966826,0.9999872382765812,307.0567565903433,1639.5392382671598,15494500.0
28,6.098001297958815,19222.64544185641,7.352415194108263,0.999967621218216,307.0567565903433,1633.561324166819,15498000.0
29,6.512312007412798,20681.06408975484,7.830020018949559,0.99993889465269,307.0567565903433,1705.7404947974703,15501500.0
30,6.504594040402153,21253.98883510964,7.725773761823173,0.9998266222662048,307.0567565903433,1722.116349047141,15505000.0
31,6.514826266531895,21340.302877275226,7.731026864640531,0.9997166387623754,307.0567565903433,1723.1301456737613,15508500.0
32,6.701083302933028,21620.21814311896,7.926865785650783,0.9997193794335728,307.0567565903433,1774.9456799374088,15512000.0
33,6.589456420155572,21536.59050080031,7.8855158454059255,0.9997295679446796,307.0567565903433,1759.631381598836,15515500.0
34,6.510458872991173,21694.64597214564,7.938949140453251,0.9997215970044964,307.0567565903433,1726.876961336652,15519000.0
35,6.773571033627674,22317.460341466693,7.780324335336869,0.9997764173450878,307.0567565903433,1725.1909154132693,15522500.0
36,6.658970886867902,22243.005712335224,7.76068806878288,0.9997693688205128,307.0567565903433,1714.0377497542606,15526000.0
37,6.1413311685072385,20130.68834929943,7.159856150724534,0.9998608934281332,307.0567565903433,1591.9374995047906,15529500.0
38,6.159397833450076,20283.016488848058,7.378426830579393,0.9999601008001178,307.0567565903433,1606.72424663475,15533000.0
39,6.0490904952717495,20075.760310887494,7.2647481286554685,0.9999550879902308,307.0567565903433,1614.6464777930034,15536500.0
40,5.977296138602487,19737.88959501386,7.0997669353672554,0.9999297174203481,307.0567565903433,1486.1799532596078,15540000.0
41,5.869945246969991,19723.949990435067,7.478781072958119,0.9999553227286228,307.0567565903433,1463.9448460498809,15543500.0
42,5.829661692509742,19689.766785964912,7.744137467768576,0.9999727006281248,307.0567565903433,1447.6466253780939,15547000.0
43,5.918430622929123,19940.072245900672,7.7527840363447105,0.9999914255603524,307.0567565903433,1441.7806584297152,15550500.0
44,5.923362328114202,19895.301635815358,7.9190216948969505,0.9999915593021474,307.0567565903433,1431.4177681105796,15554000.0
45,5.993003993942404,20018.779622915437,8.026477646401979,0.9999936560754048,307.0567565903433,1453.900526889934,15557500.0
46,5.936877200485159,19959.82613030146,7.933015948464432,1.0000628707698145,307.0567565903433,1430.7673019057167,15561000.0
