,dt_opened,block_opened,position_days,hour_opened,day_opened,month_opened,weth_borrow_balance,weth_collateral_balance,weth_borrow_balance_share,weth_collateral_balance_share,usdc_borrow_balance,usdc_collateral_balance,usdc_borrow_balance_share,usdc_collateral_balance_share,wbtc_borrow_balance,wbtc_collateral_balance,wbtc_borrow_balance_share,wbtc_collateral_balance_share,comp_borrow_balance,comp_collateral_balance,comp_borrow_balance_share,comp_collateral_balance_share,uni_borrow_balance,uni_collateral_balance,uni_borrow_balance_share,uni_collateral_balance_share,link_borrow_balance,link_collateral_balance,link_borrow_balance_share,link_collateral_balance_share,collateral_usd_balance,borrow_usd_balance,borrow-collateral-ratio,liquidation_event_happened
16,11-9-2022,15516393,259.64999999999986,18,11,9,1.1805126130108259,2.7816499057003004,0.12737286913835874,0.17830344533399947,14332.458491,0.0,0.8726271308616411,0.0,0,0.19910655,0.0,0.1558208707005717,0,50.71956990197834,0.0,0.5634699023195567,0,272.55831699,0.0,0.06528142599010023,0,129.6403046869,0.0,0.03712435565577192,27639.074537341337,16420.049525799408,0.5940882537009464,False
17,12-9-2022,15521457,62.0,14,12,9,0.0,4.7,0.0,0.0013021869848991873,503177.207226,0.0,1.0,0.0,0,0.0,0.0,0.0,0,18489.8259125006,0.0,0.9039563286485311,0,86530.39434694294,0.0,0.09474148436656958,0,0.0,0.0,0.0,6280641.879127735,503044.8085704041,0.08009449006194057,False
18,14-9-2022,15534647,259.64999999999986,19,14,9,0.0,0.0,0.0,0.0,386276.132015,0.0,1.0,0.0,0,39.38789661,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,779860.6721606344,386260.6263344865,0.4952944033763574,False
19,16-9-2022,15546055,259.64999999999986,12,16,9,0.0,0.5,0.0,1.0,250.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,738.3884600131944,249.99031964127403,0.3385620620842407,False
20,16-9-2022,15548014,167.0,18,16,9,0.0,0.5,0.0,0.043154578401006664,2927.352938,0.0,1.0,0.0,0,0.0,0.0,0.0,0,49.95130478561338,0.0,0.9260512503236596,0,88.37895045150965,0.0,0.03079417127533365,0,0.0,0.0,0.0,16562.6747219071,2927.2998609729584,0.17674076863328606,False
21,16-9-2022,15549570,259.64999999999986,23,16,9,0.0,0.5000000007346902,0.0,1.0,301.143742,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,714.0490290641105,301.1408332399272,0.4217369129884908,False
22,17-9-2022,15551682,259.64999999999986,7,17,9,0.0,161.96678383316186,0.0,0.5558381538232138,314499.529576,0.0,1.0,0.0,0,0.0,0.0,0.0,0,602.35336481,0.0,0.4441618461767862,0,0.0,0.0,0.0,0,0.0,0.0,0.0,416417.2859778272,314497.2175884787,0.7552453468639739,False
23,17-9-2022,15552905,516.0,11,17,9,0.0,2009.6972861791128,0.0,0.9004303796097228,939878.989298,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,40000.00000007234,0.0,0.0995696203902772,3178412.5048514265,939871.4971539726,0.2957046940003486,False
24,17-9-2022,15555361,259.64999999999986,19,17,9,0.0,1e-05,0.0,1.0,0.004021,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.014636659979939822,0.00402097551862116,0.2747194731675179,False
25,17-9-2022,15555453,259.64999999999986,19,17,9,0.0,1e-05,0.0,1.0,0.00268,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.014636806221912766,0.002679983575403255,0.1830989311992838,False
