,Unnamed: 0,collateral_usd_balance,borrow_usd_balance,borrow-collateral-ratio,dt_opened,block_opened,position_days,hour_opened,day_opened,month_opened,weth_borrow_balance,usdc_borrow_balance,wbtc_borrow_balance,comp_borrow_balance,uni_borrow_balance,link_borrow_balance,weth_collateral_balance,usdc_collateral_balance,wbtc_collateral_balance,comp_collateral_balance,uni_collateral_balance,link_collateral_balance
34,34,0.0,0.0,0.0,5-9-2022,15475153,0.0,2,5,9,,,,,,,,,,,,
35,35,0.0015622586442788774,0.0001130020304129999,0.07233247249219768,5-9-2022,15476044,259.64999999999986,5,5,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,36,0.0,0.0,0.0,5-9-2022,15480302,64.0,22,5,9,,,,,,,,,,,,
37,37,0.0,0.0,0.0,6-9-2022,15481030,3.0,0,6,9,,,,,,,,,,,,
38,38,5714.100219246171,1400.0206363161649,0.24501156483056266,6-9-2022,15482259,214.0,5,6,9,0.0,1.0,0.0,0.0,0.0,0.0,0.09813705572720573,0.0,0.0,0.08037395706137293,0.8214889872114214,0.0
39,39,5305.783190661222,3299.0859674495455,0.6217905724561661,6-9-2022,15482930,259.64999999999986,8,6,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,40,1.876582823906175e-06,0.0,0.0,6-9-2022,15484299,21.0,13,6,9,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
41,41,0.0,0.0,0.0,7-9-2022,15489035,63.0,7,7,9,,,,,,,,,,,,
42,42,0.0,0.0,0.0,7-9-2022,15491576,0.0,17,7,9,,,,,,,,,,,,
43,43,0.0,0.0,0.0,7-9-2022,15491910,3.0,18,7,9,,,,,,,,,,,,
44,44,9.732457490002091e-07,0.0,0.0,8-9-2022,15494927,156.0,6,8,9,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
45,45,0.0,0.0,0.0,9-9-2022,15502817,106.0,12,9,9,,,,,,,,,,,,
46,46,0.0,0.0,0.0,9-9-2022,15504645,3.0,20,9,9,,,,,,,,,,,,
47,47,1.0096678444886945e-06,0.0,0.0,10-9-2022,15506133,2.0,1,10,9,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
48,48,0.0,0.0,0.0,10-9-2022,15506695,51.0,4,10,9,,,,,,,,,,,,
49,49,0.0,0.0,0.0,10-9-2022,15509273,4.0,14,10,9,,,,,,,,,,,,
50,50,0.0,0.0,0.0,10-9-2022,15509886,49.0,16,10,9,,,,,,,,,,,,
