snapped_at,price,market_cap,total_volume
2022-09-22 00:00:00 UTC,0.024646421782031067,5938197.838682331,3540950.151091252
2022-09-23 00:00:00 UTC,0.024646421782031067,5938197.838682331,3540950.151091252
2022-09-24 00:00:00 UTC,0.02601987176354138,6299150.090797507,37617.061570096485
2022-09-25 00:00:00 UTC,0.026756966598753495,6491925.989109231,7035.462348714281
2022-09-26 00:00:00 UTC,0.02600760821048745,6332016.6666929955,6312.906584288825
2022-09-27 00:00:00 UTC,0.02421023038024153,5940379.48712066,42630.126833796414
2022-09-28 00:00:00 UTC,0.023844540084474244,5829552.536026598,1365.5131457158145
2022-09-29 00:00:00 UTC,0.02419549591021597,5927736.193352073,843.0569715224057
2022-09-30 00:00:00 UTC,0.023462818586200487,5771796.805699198,6696.308367897417
2022-10-01 00:00:00 UTC,0.023856435330970423,5875734.7616851535,821.968230912813
2022-10-02 00:00:00 UTC,0.024572580589822826,6073123.417686544,696.758471334097
2022-10-03 00:00:00 UTC,0.022669116528007016,5585972.320193527,2902.0762686519383
2022-10-04 00:00:00 UTC,0.022965851577910684,5715574.862175065,1339.8578663208764
2022-10-05 00:00:00 UTC,0.022896102674494215,5711176.644514886,1079.8349238145393
2022-10-06 00:00:00 UTC,0.02218840554701329,5576308.586932149,945.8855157156235
2022-10-07 00:00:00 UTC,0.02185917764023101,5507081.517480574,8857.147074833701
2022-10-08 00:00:00 UTC,0.021890581258270793,5534909.23865026,837.8295996000523
2022-10-09 00:00:00 UTC,0.023379831041525898,5920524.6041113185,385.7842794618376
2022-10-10 00:00:00 UTC,0.023588927333146256,5981158.154392232,994.5544671059258
2022-10-11 00:00:00 UTC,0.023104534218607486,5891175.143707056,13522.971359069317
2022-10-12 00:00:00 UTC,0.022602109962244016,5764871.871942569,2061.515395504115
2022-10-13 00:00:00 UTC,0.024159773979734903,6188505.75225612,3209.3471694160557
2022-10-14 00:00:00 UTC,0.023202710472304187,5972994.425234887,2704.1313526608105
2022-10-15 00:00:00 UTC,0.023071656120923337,5939037.882198251,1937.2386000309896
2022-10-16 00:00:00 UTC,0.022529982495033223,5817561.547698519,923.4501358132487
2022-10-17 00:00:00 UTC,0.02102904848709294,5450303.513364992,734.8243499990347
2022-10-18 00:00:00 UTC,0.022041941136322896,5718372.72132664,402.7686432540351
2022-10-19 00:00:00 UTC,0.02161420351655504,5625291.487874924,308.0845340842722
2022-10-20 00:00:00 UTC,0.02080312143628673,5424537.697588877,917.7388555352211
2022-10-21 00:00:00 UTC,0.019901974158906318,5207312.598626733,2799.912418861601
2022-10-22 00:00:00 UTC,0.020866448003141715,5473257.661248088,3249.4426391318057
2022-10-23 00:00:00 UTC,0.02114026769899645,5558818.067223767,5542.104463412869
2022-10-24 00:00:00 UTC,0.021246136696969772,5601037.042754631,4958.098741370076
2022-10-25 00:00:00 UTC,0.021724212748942505,5740179.3853535745,1871.8478914475393
2022-10-26 00:00:00 UTC,0.022138310983464252,5866824.619909184,2275.7369001157062
2022-10-27 00:00:00 UTC,0.02269583135458979,6014036.656619188,1776.697992889666
2022-10-28 00:00:00 UTC,0.022094064433899677,5886526.140239616,4793.771696168935
2022-10-29 00:00:00 UTC,0.022638039739043627,6066373.7322050175,7133.985906530921
2022-10-30 00:00:00 UTC,0.023631894899920115,6350615.378083072,11659.81033876154
2022-10-31 00:00:00 UTC,0.022929226813329123,6174926.403128942,3988.191626392379
2022-11-01 00:00:00 UTC,0.022082165579868092,5954146.556940331,5055.376823058953
2022-11-02 00:00:00 UTC,0.022743523277550193,6158257.398088168,2375.6988320911796
2022-11-03 00:00:00 UTC,0.023996557349312827,6503397.723681188,10644.331477821368
2022-11-04 00:00:00 UTC,0.027067076417207958,7365617.6570907375,4560.621026887546
2022-11-05 00:00:00 UTC,0.030503669318092577,8320838.840602153,26773.82186586516
2022-11-06 00:00:00 UTC,0.029226712878954217,7992982.284743277,10242.751124557491
2022-11-07 00:00:00 UTC,0.02799870620776498,7643629.490939726,6215.102966302621
2022-11-08 00:00:00 UTC,0.02807841841655708,7713824.165952457,6900.577661413827
2022-11-09 00:00:00 UTC,0.024507922564630406,6785071.1759217195,105551.01989800553
2022-11-10 00:00:00 UTC,0.019637331250726073,5428927.213209624,133578.3090664092
2022-11-11 00:00:00 UTC,0.024885470973233063,6897407.156731819,73243.23446275563
2022-11-12 00:00:00 UTC,0.02366903543439949,6563663.4786504265,42087.01961676407
2022-11-13 00:00:00 UTC,0.022270539460611024,6184523.684883922,14782.309529868979
2022-11-14 00:00:00 UTC,0.02118696146125761,5913067.324912294,14247.374570104634
2022-11-15 00:00:00 UTC,0.022180301348120976,6181403.059929649,44924.757330213324
2022-11-16 00:00:00 UTC,0.02261709759353032,6332513.076389654,29388.866725869942
2022-11-17 00:00:00 UTC,0.0220951220128934,6193739.75123423,2812.608278484951
2022-11-18 00:00:00 UTC,0.023333738401938225,6573685.374460681,3072.1183646374984
2022-11-19 00:00:00 UTC,0.022538520294187337,6353951.8795841,2133.41947469357
2022-11-20 00:00:00 UTC,0.022653837577157422,6698695.40837681,7434.794896358278
2022-11-21 00:00:00 UTC,0.02286890485770279,6488177.060841424,10570.459943479265
2022-11-22 00:00:00 UTC,0.022433350377169103,6375432.637042595,19777.872966991894
2022-11-23 00:00:00 UTC,0.023106586510707048,6579826.029854529,13058.09606897728
2022-11-24 00:00:00 UTC,0.023673521451936907,6753059.846994548,23094.065614298706
2022-11-25 00:00:00 UTC,0.024698183839345685,7082771.9713900685,6749.3700086223225
